time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-12-31T14:49:10.830Z,3.034,127.56,35,4,mb,8,157.9,,1.01,us,usp000grxf,2014-11-07T01:38:04.911Z,"152 km NNW of Tobelo, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-31T11:39:53.460Z,4.918,127.437,39,5.4,mwb,134,51.2,,0.84,us,usp000grx5,2016-11-10T02:06:02.354Z,"211 km SE of Pondaguitan, Philippines",earthquake,,,,,reviewed,us,us
2008-12-31T11:14:36.560Z,-4.441,128.897,35,3.9,mb,6,194.7,,0.19,us,usp000grx2,2014-11-07T01:38:04.854Z,"114 km SE of Ambon, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-31T07:07:01.890Z,-8.21,109.966,35,4.1,mb,18,166.4,,1.29,us,usp000grwr,2014-11-07T01:38:04.829Z,"43 km SW of Srandakan, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-31T00:06:25.600Z,-4.363,101.242,10,4.1,mb,28,89.4,,0.66,us,usp000grw5,2014-11-07T01:38:04.775Z,"southern Sumatra, Indonesia",earthquake,,,,6,reviewed,us,us
2008-12-30T20:32:38.020Z,-4.366,101.191,10,5.1,mb,71,103.9,,1.26,us,usp000grvw,2014-11-07T01:38:04.737Z,"134 km WSW of Bengkulu, Indonesia",earthquake,,,,35,reviewed,us,us
2008-12-30T20:05:27.120Z,-4.311,101.254,10,4.5,mb,36,193.6,,0.88,us,usp000grvt,2014-11-07T01:38:04.731Z,"125 km WSW of Bengkulu, Indonesia",earthquake,,,,14,reviewed,us,us
2008-12-30T19:49:52.610Z,-4.297,101.217,20,5.9,mwb,214,27.7,,1.1,us,usp000grvs,2022-05-02T19:58:02.332Z,"128 km WSW of Bengkulu, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-30T18:25:33.090Z,-6.713,130.031,10,3.7,mb,11,176.7,,0.47,us,usp000grvm,2014-11-07T01:38:04.690Z,Banda Sea,earthquake,,,,2,reviewed,us,us
2008-12-30T18:09:24.770Z,-10.248,118.459,49.3,5.2,mb,78,87.8,,1,us,usp000grvk,2014-11-07T01:38:04.682Z,"189 km S of Dompu, Indonesia",earthquake,,9.4,,39,reviewed,us,us
2008-12-30T17:28:20.590Z,1.232,97.181,35.3,4.5,mb,42,199.8,,0.99,us,usp000grve,2014-11-07T01:38:04.650Z,"134 km SSW of Singkil, Indonesia",earthquake,,18.9,,22,reviewed,us,us
2008-12-30T17:00:01.260Z,8.366,93.947,110.2,4.4,mb,44,77.6,,0.66,us,usp000grvc,2014-11-07T01:38:04.643Z,"Nicobar Islands, India region",earthquake,,14.6,,11,reviewed,us,us
2008-12-30T12:52:11.400Z,-4.947,127.366,35,3.9,mb,9,136.3,,1.16,us,usp000gruw,2014-11-07T01:38:04.506Z,"165 km SSW of Ambon, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-30T10:04:22.590Z,-5.919,129.746,156.1,4.4,mb,21,72.8,,1.32,us,usp000grum,2014-11-07T01:38:04.482Z,"299 km SSE of Amahai, Indonesia",earthquake,,21,,1,reviewed,us,us
2008-12-30T09:42:22.590Z,-6.32,108.268,329.6,4.2,mb,16,172.6,,0.66,us,usp000gruk,2014-11-07T01:38:04.480Z,"5 km W of Indramayu, Indonesia",earthquake,,49.1,,1,reviewed,us,us
2008-12-30T07:38:21.410Z,0.042,123.6,176.9,4.6,mb,25,91,,0.92,us,usp000grug,2014-11-07T01:38:04.363Z,"81 km SE of Gorontalo, Indonesia",earthquake,,16.4,,9,reviewed,us,us
2008-12-30T05:38:55.940Z,-4.793,101.836,35,4.7,mb,32,120,,0.98,us,usp000gruc,2014-11-07T01:38:04.347Z,"119 km SSW of Bengkulu, Indonesia",earthquake,,,,8,reviewed,us,us
2008-12-30T03:20:56.570Z,5.419,125.71,141.3,5.1,mwc,123,48.9,,0.98,us,usp000gru5,2016-11-10T02:06:01.858Z,"27 km E of Sarangani, Philippines",earthquake,,6.4,,,reviewed,us,gcmt
2008-12-29T13:44:18.800Z,-2.731,139.361,35,0,,9,137.2,,1.1,us,usp000grsn,2014-11-07T01:38:04.196Z,"142 km W of Abepura, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-29T08:14:57.450Z,-8.745,124.054,35,0,,9,169.2,,0.71,us,usp000grs3,2014-11-07T01:38:04.039Z,"62 km NW of Pante Makasar, Timor Leste",earthquake,,,,,reviewed,us,us
2008-12-29T05:54:53.760Z,5.553,125.115,35,3.8,mb,8,154.5,,0.96,us,usp000grrz,2014-11-07T01:38:04.024Z,"23 km SW of Burias, Philippines",earthquake,,,,1,reviewed,us,us
2008-12-29T05:34:52.240Z,-6.242,129.17,85.3,0,,8,191.4,,0.64,us,usp000grrx,2014-11-07T01:38:04.021Z,Banda Sea,earthquake,,61.7,,,reviewed,us,us
2008-12-29T02:06:52.360Z,-8.844,124.292,91.7,4.8,mb,25,80.8,,1.11,us,usp000grrj,2014-11-07T01:38:03.957Z,"40 km NNW of Pante Makasar, Timor Leste",earthquake,,9.6,,2,reviewed,us,us
