time,latitude,longitude,depth,mag,magType,place,provinsi
2024-12-29 06:38:41.963000+00:00,-4.4675,137.0098,9.948,4.1,mb,"172 km NW of Agats, Indonesia",PAPUA TENGAH
2024-12-27 09:15:20.500000+00:00,-1.6855,127.8466,10.0,4.6,mb,"124 km SSE of Labuha, Indonesia",MALUKU UTARA
2024-12-24 16:56:24.961000+00:00,-6.4638,106.8897,132.844,4.3,mb,"2 km NNE of Citeureup, Indonesia",JAWA BARAT
2024-12-24 14:24:44.823000+00:00,-3.9728,136.2406,10.0,4.1,mb,"106 km SE of Nabire, Indonesia",PAPUA TENGAH
2024-12-21 13:21:10.237000+00:00,-3.5787,127.0338,10.0,4.5,mb,"128 km W of Ambon, Indonesia",MALUKU
2024-12-20 16:39:05.489000+00:00,-3.5948,126.8501,10.0,4.8,mb,"148 km W of Ambon, Indonesia",MALUKU
2024-12-17 23:05:36.938000+00:00,0.7452,122.1988,88.558,4.2,mb,"98 km WNW of Gorontalo, Indonesia",GORONTALO
2024-12-17 00:13:16.677000+00:00,-8.6876,118.3004,139.913,4.2,mb,"24 km SW of Dompu, Indonesia",NUSA TENGGARA BARAT
2024-12-15 11:07:51.052000+00:00,-2.8912,137.4506,54.082,4.5,mb,"222 km ENE of Nabire, Indonesia",PAPUA
2024-12-11 21:16:37.261000+00:00,2.3588,128.5075,232.068,4.2,mb,"89 km NE of Tobelo, Indonesia",MALUKU UTARA
2024-12-11 11:28:22.248000+00:00,-8.5548,122.545,143.074,4.3,mb,"37 km E of Maumere, Indonesia",NUSA TENGGARA TIMUR
2024-12-09 21:26:16.626000+00:00,-4.2272,103.612,81.713,4.4,mb,"38 km SSW of Tanjungagung, Indonesia",SUMATERA SELATAN
2024-12-07 00:37:55.906000+00:00,-2.0394,115.1041,10.0,4.8,mb,"36 km WNW of Tanjung, Indonesia",KALIMANTAN TENGAH
2024-12-07 00:12:20.544000+00:00,-7.1851,107.5645,6.878,4.6,mb,"14 km E of Banjar, Indonesia",JAWA BARAT
2024-12-05 08:00:31.019000+00:00,-3.0968,136.83,42.997,4.5,mb,"150 km E of Nabire, Indonesia",PAPUA
2024-12-04 19:51:50.960000+00:00,1.0654,127.4689,186.828,4.4,mb,"31 km NNE of Ternate, Indonesia",MALUKU UTARA
2024-12-04 14:21:36.260000+00:00,4.8923,95.8234,10.0,4.5,mb,"56 km SSW of Sigli, Indonesia",ACEH
2024-12-03 18:28:27.053000+00:00,-3.1819,103.1427,219.447,4.3,mb,"33 km ENE of Lubuklinggau, Indonesia",SUMATERA SELATAN
2024-12-03 05:49:03.360000+00:00,-8.403,123.0656,190.334,4.4,mb,"97 km ENE of Maumere, Indonesia",NUSA TENGGARA TIMUR
2024-12-02 12:19:09.310000+00:00,-2.8659,129.3796,10.0,4.7,mb,"66 km NE of Masohi, Indonesia",MALUKU
2024-11-30 21:11:26.203000+00:00,-3.021,128.7256,19.026,4.5,mb,"40 km NW of Masohi, Indonesia",MALUKU
2024-11-30 17:58:40.649000+00:00,-2.6122,136.7339,37.504,4.5,mb,"160 km ENE of Nabire, Indonesia",PAPUA
2024-11-26 09:37:39.890000+00:00,1.867,99.2067,139.998,4.4,mb,"49 km ENE of Sibolga, Indonesia",SUMATERA UTARA
2024-11-26 07:55:04.469000+00:00,-2.903,129.3838,10.0,5.0,mb,"63 km NE of Masohi, Indonesia",MALUKU
2024-11-25 23:33:37.399000+00:00,-9.6578,119.6994,69.666,4.3,mb,"56 km ESE of Tambolaka, Indonesia",NUSA TENGGARA TIMUR
2024-11-24 21:02:45.198000+00:00,-4.2059,103.7393,10.0,4.4,mb,"30 km SSW of Tanjungagung, Indonesia",SUMATERA SELATAN
2024-11-21 12:12:53.535000+00:00,-2.32,138.9634,35.773,5.2,mb,"188 km W of Abepura, Indonesia",PAPUA
2024-11-20 00:28:51.548000+00:00,-3.352,102.0971,102.612,4.2,mb,"48 km WNW of Curup, Indonesia",BENGKULU
2024-11-16 12:41:04.974000+00:00,0.5453,123.5607,262.832,4.0,mb,"55 km E of Gorontalo, Indonesia",SULAWESI UTARA
2024-11-15 21:39:49.974000+00:00,-0.5558,100.2323,129.095,4.3,mb,"14 km ENE of Pariaman, Indonesia",SUMATERA BARAT
2024-11-14 01:36:35.420000+00:00,-6.0257,106.3181,196.104,4.2,mb,"13 km NNW of Kresek, Indonesia",BANTEN
2024-11-11 21:33:35.114000+00:00,-2.8257,138.5807,42.968,4.2,mb,"229 km W of Abepura, Indonesia",PAPUA
2024-11-11 03:53:05.305000+00:00,-2.4311,101.8325,201.23,4.1,mb,"64 km SE of Sungai Penuh, Indonesia",JAMBI
2024-11-09 21:20:42.177000+00:00,-4.7329,137.7671,16.647,4.9,mb,"98 km NNW of Agats, Indonesia",PAPUA TENGAH
2024-11-09 02:53:38.075000+00:00,0.9901,121.1379,57.398,4.9,mb,"219 km WNW of Gorontalo, Indonesia",SULAWESI TENGAH
2024-11-06 09:14:52.456000+00:00,-3.3482,139.9157,93.05,4.6,mb,"115 km SW of Abepura, Indonesia",PAPUA
2024-11-04 05:37:44.177000+00:00,4.6655,96.5476,130.624,4.4,mb,"61 km SSW of Bireun, Indonesia",ACEH
2024-11-04 02:35:21.335000+00:00,2.3382,128.396,241.989,4.3,mb,"79 km NNE of Tobelo, Indonesia",MALUKU UTARA
2024-11-04 02:28:35.448000+00:00,-2.2767,99.6667,10.0,4.5,mb,"28 km SSE of Tuapejat, Indonesia",SUMATERA BARAT
2024-11-01 08:48:09.334000+00:00,-2.713,139.4168,32.937,4.9,mb,"135 km W of Abepura, Indonesia",PAPUA
2024-11-01 03:00:55.619000+00:00,4.3865,98.1782,10.0,4.4,mb,"24 km ESE of Langsa, Indonesia",ACEH
2024-11-01 02:17:37.786000+00:00,-7.5442,127.4277,144.144,4.1,mb,"118 km NNE of Lospalos, Timor Leste",MALUKU
2024-10-29 22:59:17.725000+00:00,5.2124,95.9002,10.0,4.4,mb,"20 km SSW of Sigli, Indonesia",ACEH
2024-10-29 04:27:10.609000+00:00,-2.9507,129.7521,10.0,4.8,mb,"95 km ENE of Masohi, Indonesia",MALUKU
2024-10-29 02:35:22.584000+00:00,4.8018,96.0583,10.0,4.6,mb,"52 km SSW of Reuleuet, Indonesia",ACEH
2024-10-27 20:58:16.601000+00:00,-1.9279,137.4524,10.0,4.7,mww,"173 km ESE of Biak, Indonesia",PAPUA
2024-10-24 17:22:45.592000+00:00,-2.3984,134.1974,46.99,4.9,mb,"81 km ESE of Bintuni, Indonesia",PAPUA BARAT
2024-10-24 14:49:09.454000+00:00,-3.1689,102.8213,187.872,4.2,mb,"14 km NNW of Lubuklinggau, Indonesia",SUMATERA SELATAN
2024-10-23 06:12:22.136000+00:00,-8.7256,120.4977,147.358,4.3,mb,"13 km SSE of Ruteng, Indonesia",NUSA TENGGARA TIMUR
2024-10-20 20:29:39.069000+00:00,-7.7341,113.547,176.903,4.3,mb,"16 km W of Besuki, Indonesia",JAWA TIMUR
2024-10-17 22:56:28.106000+00:00,-3.2106,139.7529,46.637,4.4,mb,"119 km SW of Abepura, Indonesia",PAPUA
2024-10-17 02:46:29.675000+00:00,-3.6079,130.6221,10.0,4.3,mb,"186 km E of Masohi, Indonesia",MALUKU
2024-10-14 21:30:19.810000+00:00,-3.2523,139.1898,10.0,4.5,mb,"176 km WSW of Abepura, Indonesia",PAPUA
2024-10-11 01:09:30.573000+00:00,0.4311,123.5975,244.179,4.1,mb,"60 km E of Gorontalo, Indonesia",SULAWESI UTARA
2024-10-09 21:18:56.792000+00:00,-8.6341,118.3538,135.884,4.1,mb,"16 km SW of Dompu, Indonesia",NUSA TENGGARA BARAT
2024-10-04 22:22:10.363000+00:00,2.3014,128.2837,156.721,4.3,mb,"70 km NNE of Tobelo, Indonesia",MALUKU UTARA
2024-10-02 09:44:42.918000+00:00,-8.2365,124.2776,159.11,4.0,mb,"107 km N of Pante Makasar, Timor Leste",NUSA TENGGARA TIMUR
2024-10-02 01:09:16.360000+00:00,-7.1023,106.5409,62.176,4.3,mb,"12 km S of Pelabuhanratu, Indonesia",JAWA BARAT
2024-10-01 11:16:05.646000+00:00,-2.9412,129.5088,10.0,4.5,mb,"71 km ENE of Masohi, Indonesia",MALUKU
2024-09-26 01:17:17.003000+00:00,0.5654,99.7589,150.106,4.6,mb,"105 km SSE of Padangsidempuan, Indonesia",SUMATERA UTARA
2024-09-24 08:57:20.654000+00:00,2.3142,128.4492,8.479,4.2,mb,"81 km NE of Tobelo, Indonesia",MALUKU UTARA
2024-09-23 23:53:57.063000+00:00,-7.2784,106.914,82.939,4.3,mb,"39 km S of Sukabumi, Indonesia",JAWA BARAT
2024-09-22 03:11:51.946000+00:00,-7.6022,109.6947,133.324,4.3,mb,"19 km E of Gombong, Indonesia",JAWA TENGAH
2024-09-20 23:26:16.183000+00:00,-8.3784,115.3408,10.0,4.6,mb,"15 km NW of Banjar Wangsian, Indonesia",BALI
